data_request_id,requirement_kind,capability_id,input_role,requirement_statement,request_spatial_scope,request_time_scope,priority,input_readiness_status,current_evidence_ids,current_claim_ids,acceptance_criteria,blocking_reason,next_action,request_notes
DR_SM_GEOMETRY,EXTERNAL_DATA,CAP_ATTRIB,SPATIAL_GEOMETRY,Reviewed current geometry for the OT.02 source-model spatial units used to locate and identify profile/run context.,Tollebeek OT.02,current authoritative geometry,P1,ADMITTED,EV_TOL_AREA_2016;EV_PDOK_ROUTE;EV_ZZL_GEOMETRY_OWNER_ROUTE;EV_TOL_OT02_CURRENT_GEOMETRY;EV_TOL_OT02_PEILBESLUIT_CROSSCHECK,CL_TOL_AREA;CL_SPATIAL_GATE;CL_TOL_GEOMETRY_CURRENT,"Admit a specific current geometry/version with stable spatial-unit IDs, provenance, review date and enough area/feature metadata to distinguish administrative area from model units.",Resolved for current peilgebied spatial identity: the owner status-4 OT.02 polygon is persisted and cross-checked. This does not resolve affected compaction area or any later subdivision into source-model units.,Geometry gate is closed for current peilgebied identity; re-open only if owner feature status or polygon changes.,Admission is limited to peilgebied geometry. The geometry-derived area is about 1496.52 ha and corroborates the 1497-ha administrative benchmark; source attribute GPGOPPVL=1506 is not admitted as geometry area and none of these values is affected compaction area.
DR_SM_PROFILE,DERIVED_INPUT,CAP_ATTRIB,SOIL_PROFILE_CONTEXT,"Depth-resolved profile/layer context for the selected source-model units, including layer geometry and relevant intrinsic properties.",Tollebeek selected source-model units,current or explicitly versioned source,P1,ADMITTED,EV_SOILPHYS_ROUTE;EV_GROEN_PROFILE_GEOMETRY;EV_TOL_PROFILE_SCREENING;EV_TOL_PROFILE_BOFEK_CROSSWALK,CL_SPATIAL_GATE;CL_THEORY_PROFILE_DEPTH;CL_TOL_PROFILE_BASIS,"Persist source/profile IDs, depth intervals, provenance and the intrinsic properties needed by the selected model; clearly label derived/modal attributes versus direct measurements.",Resolved for bounded OT.02 profile identity and modal layer context: all eight profiles detected by the two shifted 500 m screenings are persisted with BOFEK2020 crosswalk and full 0-120 cm layer definitions. Exact areal weighting and current compaction state remain outside this admission.,Proceed to DR_SM_CURRENT_STATE using the admitted eight-profile context basis; acquire or qualify dated current compaction-state evidence without substituting modal SoilPhys density.,"Admission covers profile identity/layer context only. Screening fractions are diagnostics, not exact area weights. modal_bulk_density_g_cm3 is deliberately separate from soil_state.bulk_density_g_cm3."
DR_SM_CURRENT_STATE,EXTERNAL_DATA,CAP_ATTRIB,CURRENT_SOIL_STATE,Current depth-resolved soil/compaction state for each selected profile/layer at the state variables required by the source model.,Tollebeek selected source-model profiles,current state with dated provenance,P1,PARTIAL_EVIDENCE,EV_SOILPHYS_ROUTE;EV_TOL_PROFILE_SCREENING;EV_TOL_PROFILE_BOFEK_CROSSWALK;EV_FLEVO_COMPACTION_FIELD_PROTOCOL;EV_FLEVO_COMPACTION_MAP_LIMIT;EV_FLEVO_COMPACTION_DATASET_ROUTE,CL_SPATIAL_GATE;CL_TOL_PROFILE_BASIS;CL_THEORY_STATE_RESPONSE_CONTEXT;CL_TOL_CURRENT_STATE_GATE,"Provide source-native location IDs and coordinates, measurement dates, depth/depth-interval semantics, direct-measurement versus derived provenance, replicate/QC information and a reproducible spatial join to admitted OT.02. Any use outside the 2020-2021 observation period requires explicit temporal qualification. Missing values remain missing.","A qualified 2020-2021 Flevoland field-measurement campaign and dataset route exist, but the public sources do not expose the raw coordinate/value table needed for an auditable OT.02 join. The regional interpolation was judged unusable by the source study, and 2020-2021 measurements are not automatically a 2026 CURRENT state.","Acquire the raw georeferenced Flevo-land-in-beweging / WER 3382 point records from the project or research holders; intersect them with the admitted OT.02 polygon; preserve date, depth, replicates and QC; then review whether the resulting local observations are sufficient for a dated CURRENT-state representation.","The detailed request contract is data_requests/tollebeek_current_state_data_request_v0_1.md. Do not substitute SoilPhys modal density, province-wide percentages or regional interpolation. Raw coordinate-level evidence is the next gate."
DR_SM_REFERENCE_STATE,SCIENTIFIC_DECISION,CAP_ATTRIB,REFERENCE_SOIL_STATE,"Matched reference soil state for each current profile/state, constructed for the explicit causal question.",Tollebeek selected source-model profiles,paired with current state,P1,PARTIAL_EVIDENCE,EV_KELLER_REFERENCE_CONTROL;EV_GRAVES_COUNTERFACTUAL,CL_THEORY_REFERENCE_CAUTION,"Document reference construction, evidence and rationale at compatible profile/layer grain; preserve controlled dimensions and record which state variables differ from CURRENT.",The reference concept is theoretically qualified but no Tollebeek-specific reference state is admitted.,"Define candidate reference-construction options only after the current profile/state is fixed, then qualify one for the intended attribution use.","REFERENCE is not synonymous with pristine, zero traffic or an arbitrary low bulk density."
DR_SM_DRAINAGE,EXTERNAL_DATA,CAP_MULTI_DRAIN,DRAINAGE_CONFIGURATION,"Current drainage configuration relevant to the selected source-model units and event, including geometry/control parameters required by the chosen representation.",Tollebeek selected source-model units,current configuration,P1,PARTIAL_EVIDENCE,EV_FW50_TILE_RES;EV_FW50_SURF_RES;EV_TOL_DRAINAGE_OWNER_COVERAGE;EV_TOL_DRAINAGE_LEGGER_TOPOLOGY;EV_NOP_DRAINAGE_HISTORICAL_CONTEXT,CL_FW50_PRIOR;CL_TOL_DRAINAGE_GATE,"For selected source-model units, admit source-native or separately qualified drainage evidence with stable unit IDs/spatial applicability, actual drain spacing or density, drain depth/elevation with datum, outlet/receiving-water relation, provenance/reference date and missing/QC semantics. Any mapping to model drainage resistance must be separately documented and qualified.","Owner zzl_Drainage identifies 74 drainage polygons covering about 95.27% of OT.02, but all intersecting features return spacing 0 and null depth/install-date values and the layer was last edited in 2021. The much newer owner Legger resolves open-water topology but not parcel-drain spacing, depth or SWAP resistance.","Acquire current or explicitly dated source-native parcel-drain records from owner/landholder/asset documentation for selected OT.02 units, preserving spacing, depth/elevation, outlet relation and provenance; then qualify the physical-to-model drainage mapping before admitting a configuration.","Detailed request contract: data_requests/tollebeek_drainage_data_request_v0_1.md. Owner spacing 0 is treated as unavailable/sentinel-like, null remains null, open-water topology is distinct from subsurface drainage, and historical 100 d/30 d resistances remain priors only."
DR_SM_EVENT_FORCING,EXTERNAL_DATA,CAP_ATTRIB,EVENT_FORCING,Actual meteorological forcing for the event or simulation window selected for the first paired source-model experiment.,Tollebeek source-model event,explicit event/window,P1,ADMITTED,EV_GROEN_HOURLY_FORCING;EV_TOL_1998_OWNER_EVENT;EV_TOL_1998_ANTECEDENT;EV_TOL_1998_KNMI_FORCING,CL_THEORY_TEMPORAL_FORCING;CL_TOL_1998_EVENT_FORCING,"Persist source, timestamps, timezone, native units, temporal resolution, missing/trace handling and exact context/core window. Station-based spatial representativeness and any model-specific conversion must remain explicit and separately reviewable.","Resolved for the first bounded event experiment: a reproducible 144-hour KNMI station-273 Marknesse forcing context is persisted with exact UTC intervals, native units/trace semantics, source checksum and qualified event core.",Use the admitted 1998 event identity to address DR_SM_INITIAL_STATE and DR_SM_MANAGED_BOUNDARY. Map native meteorological fields into a pinned source-model configuration only under DR_SM_MODEL_CONFIG before any run.,"Admission is limited to observed station-based forcing. The context window 1998-10-24T00:00Z to 1998-10-30T00:00Z is not a hydrologic warm-up. The 88.4-mm core is measured from the hourly series; owner 87.5-mm/24h reporting is independent corroboration. RH=-1 remains a native trace code (<0.05 mm), not missing or a physical zero."
DR_SM_INITIAL_STATE,DERIVED_INPUT,CAP_ATTRIB,INITIAL_HYDROLOGICAL_STATE,Initial hydrological state or reproducible warm-up protocol shared by the matched CURRENT and REFERENCE runs unless the scientific design explicitly requires otherwise.,Tollebeek source-model profiles,event initial state,P1,PARTIAL_EVIDENCE,EV_TOL_1998_ANTECEDENT;EV_TOL_INITIAL_DEEP_GLD;EV_TOL_INITIAL_SHALLOW_SEARCH;EV_TOL_INITIAL_SHALLOW_NEARBY_CONTEXT,CL_THEORY_STATE_RESPONSE_CONTEXT;CL_TOL_INITIAL_STATE_GATE,"Define and persist the initial-state variables or warm-up procedure, provenance and equality/equivalence rule across the pair; unknown initial conditions must remain explicit.","The public BRO route yields two deep-screen piezometric series inside OT.02 and several shallow historical series outside the polygon, but no shallow event-date series inside OT.02. The inside heads are from deep filters and historical observations are status onbekend; they do not define the phreatic/root-zone initial state. A warm-up/restart protocol also cannot yet be qualified while model configuration, managed boundary, drainage and land-use inputs remain open.","Seek owner/DINO/BRO archival shallow groundwater or soil-water observations inside/near OT.02 for the 1998-10-24 start with explicit location, datum, depth/screen and QC. If no observation is recoverable, revisit only after model configuration, boundary, drainage and land use are admitted and then qualify a reproducible warm-up/restart protocol applied identically/equivalently to CURRENT and REFERENCE.","Do not infer initial groundwater from NAP -6.20 target peil, deep piezometric heads, antecedent rainfall totals or the narrative fully saturated condition. Nearby shallow BRO observations outside OT.02 remain context only. Missing initial-state variables remain missing."
DR_SM_MANAGED_BOUNDARY,MODEL_CONFIGURATION,CAP_MANAGED_BOUNDARY,MANAGED_BOUNDARY,"Managed groundwater/surface-water boundary representation for the selected profiles and event, including the control semantics that must remain matched across CURRENT and REFERENCE runs.",Tollebeek OT.02,event-specific or explicitly controlled window,P1,PARTIAL_EVIDENCE,EV_TOL_TARGET_LEVEL;EV_GROEN_BOUNDARY_SENSITIVITY;EV_TOL_BOUNDARY_HISTORICAL_SYSTEM;EV_TOL_BOUNDARY_POST1998_REDESIGN;EV_TOL_BOUNDARY_1998_CRISIS;EV_TOL_BOUNDARY_OWNER_ARCHIVE_ROUTE,CL_TOL_MANAGED;CL_TOL_1998_MANAGED_BOUNDARY_GATE,"Document the boundary formulation, data source/control rule, event applicability and model mapping; demonstrate that the paired runs use identical or explicitly equivalent boundary semantics.","Historical pre-IJsvogel topology, target levels and near-period nominal pump capacities are now constrained, and the 1998 crisis/emergency-response context is qualified. However no event-specific 1998 surface-water-level series, Urkervaart level series, historical pump runtime/realized discharge, stuw/inlaat operation series or emergency-pump schedule is admitted. Current merged OT.02/IJsvogel controls are post-1998 and cannot substitute for the historical boundary.","Use the qualified owner water-information route to request 1998-10-24 through 1998-10-30 water levels for De Rietgors/De Fuut/De Kievit and Urkervaart, historical pump run-time/discharge records, stuw/inlaat operations and emergency-pump timing/location/capacity. If direct telemetry is unavailable, define a separately reviewable reconstruction protocol that preserves historical topology and uncertainty before any model mapping.","Detailed request contract: data_requests/tollebeek_managed_boundary_data_request_v0_1.md. NAP -6.20 is a streefpeil, not an actual event hydrograph or groundwater head. Near-period nameplate capacities are not realized 1998 discharge. Current IJsvogel and the current merged OT.02 control topology are excluded as silent 1998 substitutes. Missing dynamic controls remain missing."
DR_SM_LAND_USE,EXTERNAL_DATA,CAP_ATTRIB,LAND_USE_CROP_CONTEXT,Land-use/crop context applicable to the selected spatial units and simulation period where the source model response depends on vegetation/crop state.,Tollebeek selected source-model units,selected event or simulation period,P1,MISSING,,CL_THEORY_STATE_RESPONSE_CONTEXT,"Record the land-use/crop identity, period and provenance at the grain required by the model; keep it identical across a simple soil-state attribution pair unless intentionally part of the research question.",No Tollebeek-specific land-use/crop input has been admitted for the first source-model pair.,"After spatial-unit selection, acquire the relevant land-use/crop context for the chosen event/window and review its model mapping.",Do not silently choose a representative crop for the whole administrative area.
DR_SM_MODEL_CONFIG,MODEL_CONFIGURATION,CAP_ATTRIB,MODEL_CONFIGURATION,Pinned source-model implementation/version and explicit numerical/model configuration used by both members of the CURRENT/REFERENCE pair.,First paired source-model experiment,experiment version,P1,MISSING,EV_GROEN_BOUNDARY_SENSITIVITY,CL_THEORY_REFERENCE_CAUTION,"Record executable/model authority, version/commit where applicable, configuration ID and all controlled dimensions required to reproduce the pair; CURRENT and REFERENCE must differ only in the admitted state contrast for simple attribution.",The project architecture defines model_configuration but no concrete source-model execution authority/configuration has been admitted for this experiment.,Select and pin the source-model implementation only after the input contract is reviewed; then register the exact configuration before running the pair.,This request does not choose SWAP version or numerical defaults on behalf of the scientific review.
