pathway_id,branch,pathway_name,evidence_state,source_candidates,uncertainty_mode,shortcut_mode,monetization_route,current_verdict,next_minimal_action,do_not_do
O1,ONSITE,Crop yield / production quantity,"Dutch maize; grass; soil-improvement studies; international long-term bounds","Keller2019; Groenendijk2017; Kuhlman2010; Alblas route","within-source range + between-source ensemble + crop/soil/weather/reference context","direct empirical relation after context matching","crop-specific private/gross production/welfare views","EVIDENCE_AVAILABLE_BUT_NO_UNIVERSAL_COEFFICIENT","build ensembles for first 1-3 soil×crop combinations","no single national yield-loss coefficient"
O2,ONSITE,Crop quality,"thin evidence set","targeted crop-specific literature","crop and market specific","direct literature only if relevant","quality grade/price/rejected volume","KNOWLEDGE_GAP","focused review for material high-value crops","do not infer quality loss from yield loss"
O3,ONSITE,Potential irrigation need / drought sensitivity,"ET and dry-year irrigation bounds available","Groenendijk2017; Deltares valuation route in legacy workbook","weather + profile + groundwater + irrigation rule + supply","conditional empirical bounds","actual supplied water / farm energy only after adoption/supply step","PHYSICAL_BOUNDS_AVAILABLE_SUPPLY_LINK_MISSING","separate potential deficit→adoption→actual supply","do not equate potential mm with actual supplied water"
O4,ONSITE,Extra field operations / workability,"not sufficiently populated","WSER/business evidence + targeted literature","operation + soil + crop + weather","business evidence may bypass process modelling","labour/fuel/machinery/timeliness","PROMISING_ONSITE_GAP","materiality screen with business experts","no engineering-intuition coefficients"
O5,ONSITE,Private farm cost consolidation,"valuation architecture ready","KWIN; Agrimatie; CBS; Kuhlman benchmark","price/cost year + avoided-cost assumptions","simple accounting equations","marginal private / gross revenue / production value separated","METHOD_READY_INPUT_GATED","populate crop-specific valuation data","do not add private loss and production value without double-count review"
F1,OFFSITE,Additional surface runoff / altered drainage response,"local/process evidence available","Groenendijk2017; Keller2019 mechanism","profile + event + groundwater + antecedent state","matched local empirical/process bound","none at source stage","LOCAL_EVIDENCE_AVAILABLE_TRANSFER_REQUIRED","bound source response per priority hydrotype","no national mm factor from one case"
F2,OFFSITE,Field-edge / ditch / network delivery,"framework strong; generic numbers weak","Tollebeek evidence; hydrological-system literature to add","connectivity + storage + routing + timing","qualified delivery factor by system class if defensible","none directly","FRAMEWORK_READY_DATA_GAP","build small hydrological-system typology","generated runoff != delivered runoff"
F3,OFFSITE,Managed water-system pumping / energy / capacity,"advanced pilot architecture","Tollebeek owner/operation evidence; future representative systems","delivery + controls + availability + head + efficiency + baseline load","observed operating intensity may bypass detailed simulation","public-budget variable cost; separate welfare resource cost","PILOT_ARCHITECTURE_ADVANCED_GENERAL_SCALING_OPEN","test representative managed-system classes before national scaling","installed capacity != incremental operation"
F4,OFFSITE,Flood / waterlogging / peak-risk consequence,"benchmark only","Graves2015; future Dutch risk evidence","timing + buffering + thresholds + exposed assets","benchmark only until Dutch system-risk link","expected damage / risk-management cost","BENCHMARK_ONLY","retain endpoint; quantify after Dutch system response exists","do not apply Graves 3-10% to Dutch flood damage"
F5,OFFSITE,Regional water-supply pressure,"potential demand and valuation candidates; actual transfer missing","Groenendijk2017; Deltares2026 legacy-workbook route","demand + adoption + source availability + allocation","conditional demand/supply scenarios","resource/supply/welfare effect after actual delivery attribution","VALUATION_CANDIDATE_PHYSICAL_TRANSFER_MISSING","separate groundwater, surface-water and unsupplied deficit","potential demand != regional supplied water"
F6,OFFSITE,Water quality / nutrients / pesticides,"linked-later conceptual route","future empirical/process evidence","mobilisation + concentration + route + retention + receptor","direct empirical shortcut only where strongly matched","treatment/ecological/welfare only after load/receptor effect","LINKED_LATER","keep visible and gather evidence opportunistically","do not delay first water/yield estimates or monetise without load"
