equation_id,equation_name,expression,variables_and_units,domain_of_validity,null_behavior,evidence_basis,code_location,test_location,exclusions,capability_status
EQ_ATTRIBUTION_DELTA,Matched current-reference attribution,"delta_Y = Y_current - Y_reference","Y_current and Y_reference: same response variable and unit; delta_Y: same unit","Only for matched current/reference states under the same controlled event, crop, drainage and boundary context.","If either matched response is unknown, delta_Y remains unknown.","CL_THEORY_REFERENCE_CAUTION; project counterfactual definition",,"","Do not compare runs that differ in uncontrolled context and call the difference compaction attribution.",DATA_GATED
EQ_GENERATED_VOLUME,Generated runoff-volume identity,"V_generated = 10 * A_ha * delta_R_mm","A_ha: ha; delta_R_mm: mm/event; V_generated: m3/event","After a qualified source-response delta_R is defined for an explicitly affected area.","If A_ha or delta_R_mm is unknown, V_generated remains unknown.","Dimensional identity; CL_THEORY_SCALE_TRANSFER","src/transfer/volume.py::generated_increment_m3","tests/test_vertical_slice.py::SourceVolumeTests","Generated parcel volume is not field-edge, ditch, network or pump volume.",ARCHITECTURE_READY
EQ_EVENT_DELIVERY_DIAGNOSTIC,Event delivery diagnostic,"f_delivery_event = V_edge / V_generated","V_edge: m3/event; V_generated: m3/event; f_delivery_event: fraction","Diagnostic only where both generated and field-edge volumes are defined for the same event and source unit.","Undefined when denominator or numerator is unknown; zero denominator requires explicit handling rather than silent division.","CL_THEORY_SCALE_TRANSFER; event-conditioned transfer architecture",,"","No universal static delivery-factor default and no inference from ponding alone.",EVIDENCE_GATED
EQ_ASSIST_ALLOCATION,Assist-zone pump allocation,"V_assist_to_primary = f_assist * V_assist; V_assist_to_secondary = (1 - f_assist) * V_assist","V: m3/event; f_assist: fraction","Only after routed/network volume is available and an explicit assist fraction or control rule is supplied.","If routed volume or f_assist is unknown, allocated assist volumes remain unknown.","CL_DISPATCH; EV_KIEVIT_ASSIST_ROUTE","src/water_system/dispatch.py::two_zone_two_pump_dispatch","tests/test_vertical_slice.py::DispatchTests","No hidden assist default and no reverse primary-zone-to-secondary routing without evidence.",SEMANTICS_READY_DATA_GATED
EQ_AVAILABLE_CAPACITY,Available pump capacity,"Q_available = Q_installed * availability_fraction","Q_installed: m3/min; availability_fraction: fraction; Q_available: m3/min","Per pump asset and operating state after installed/nominal capacity and availability are separately defined.","If installed capacity or availability is unknown, available capacity remains unknown.","CL_IJ_CAP; CL_KIEVIT_CAP","src/water_system/dispatch.py::two_zone_two_pump_dispatch","tests/test_vertical_slice.py::DispatchTests","Installed capacity must not be treated as guaranteed incremental availability.",SEMANTICS_READY_DATA_GATED
EQ_PUMP_HOURS,Incremental pump-time identity,"pump_hours = pumped_volume_m3 / (Q_available_m3_min * 60)","pumped_volume_m3: m3/event; Q_available: m3/min; pump_hours: h/event","For a routed and allocated incremental volume with explicit positive available capacity.","If pumped volume or available capacity is unknown, pump hours remain unknown; non-positive available capacity does not produce a finite hour value.","Physical time-volume identity","src/water_system/dispatch.py::two_zone_two_pump_dispatch","tests/test_vertical_slice.py::DispatchTests","Does not include routing delay or prove that the response window is operationally feasible.",ARCHITECTURE_READY_DATA_GATED
EQ_CAPACITY_PRESSURE,Response-window capacity pressure,"capacity_pressure = pump_hours / response_window_h","pump_hours: h/event; response_window_h: h; capacity_pressure: fraction","Screening metric only when an explicit response window is defined.","If pump hours or response window is unknown, capacity pressure remains unknown.","Project formalization of capacity-pressure screening","src/water_system/dispatch.py::two_zone_two_pump_dispatch","tests/test_vertical_slice.py::DispatchTests","A value above one is not by itself a damage threshold or proof of flooding.",ARCHITECTURE_READY_DATA_GATED
EQ_PUMP_ENERGY,Pump-energy identity,"E_kWh = rho * g * H * V / (eta * 3.6e6)","rho: kg/m3; g: m/s2; H: m; V: m3; eta: fraction; E: kWh","For a defined pump/operating point with attributable pumped volume, total dynamic head and efficiency.","If V, H or eta is unknown, energy remains unknown.","Mechanical energy identity","src/water_system/energy.py::pump_energy_kwh","tests/test_vertical_slice.py::EnergyTests","Do not substitute target-level difference for total dynamic head and do not default pump efficiency.",ARCHITECTURE_READY_DATA_GATED
EQ_DIRECT_PUMP_COST,Direct pumping budget cost,"C_pump = E_kWh * p_electricity + attributable_variable_OM","E_kWh: kWh; p_electricity: EUR/kWh; variable_OM: EUR; C_pump: EUR","Only after energy and attributable variable O&M are defined for the same accounting scope and period.","If required price or attributable cost input is unknown, current direct cost remains unknown.","CL_THEORY_ECONOMIC_CATEGORIES; project valuation architecture",,"","Direct water-board expenditure is not automatically societal welfare loss; historical EUR/m3 benchmarks are not current unit costs.",DATA_GATED
EQ_STATE_TO_HYDRAULICS,Versioned soil-state to hydraulic transformation,"H_i,s,m = T_v(S_i,s, X_i, m)","S: state variables with registered units; X: retained profile/context predictors; T_v: qualified method/version; m: uncertainty/scenario member; H: qualified analytical parameters or hydraulic table","Only for a reviewed transformation method whose predictor definitions and application domain cover the intended state/profile use.","If a required predictor or method input is unknown, H remains incomplete/blocked; no default or zero substitution.","CL_HYDRAULIC_TRANSFORMATION_CONTRACT;EV_SWAP_HYDRAULIC_INPUT_CONTRACT;EV_VDBOLT_BD_RESPONSIVE_PTF;EV_VEREECKEN_PTF_MULTI_PREDICTOR",,"tests/test_hydraulic_parameterization_schema.py","Architecture relation only; does not choose a PTF or provide numerical Tollebeek hydraulic parameters.",ARCHITECTURE_READY_DATA_GATED
