soil_layer_id,soil_profile_id,source_id,source_profile_id,horizon_code,layer_top_cm,layer_bottom_cm,som_pct,clay_pct,silt_pct,sand_pct,modal_bulk_density_g_cm3,staring_series_spu,property_provenance_class,state_guardrail
SOILPHYS_90115240_L01,SOILPHYS_90115240,SRC_WUR_SOILPHYSICS,90115240,1Ap,0,25,2,14,34,52,1.4722,B8,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_90115240_L02,SOILPHYS_90115240,SRC_WUR_SOILPHYSICS,90115240,1Cw,25,50,0,14,34,52,1.5244,O9,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_90115240_L03,SOILPHYS_90115240,SRC_WUR_SOILPHYSICS,90115240,1Cg,50,120,0,9,26,65,1.5787,O8,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_15100_L01,SOILPHYS_15100,SRC_WUR_SOILPHYSICS,15100,1Apg,0,25,3,17,33,50,1.4109,O9,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_15100_L02,SOILPHYS_15100,SRC_WUR_SOILPHYSICS,15100,1Cwg,25,40,1,17,33,50,1.4867,O9,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_15100_L03,SOILPHYS_15100,SRC_WUR_SOILPHYSICS,15100,1Cg,40,60,1,28,37,35,1.3959,O11,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_15100_L04,SOILPHYS_15100,SRC_WUR_SOILPHYSICS,15100,2Cw,60,75,45,45,35,20,0.4,O17,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_15100_L05,SOILPHYS_15100,SRC_WUR_SOILPHYSICS,15100,2Cu,75,120,85,45,35,20,0.35,O17,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_15250_L01,SOILPHYS_15250,SRC_WUR_SOILPHYSICS,15250,1Ap,0,25,2,14,34,52,1.4722,B8,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_15250_L02,SOILPHYS_15250,SRC_WUR_SOILPHYSICS,15250,1Cw,25,50,0,14,34,52,1.5244,O9,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_15250_L03,SOILPHYS_15250,SRC_WUR_SOILPHYSICS,15250,1Cg1,50,85,0,9,26,65,1.595,O8,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_15250_L04,SOILPHYS_15250,SRC_WUR_SOILPHYSICS,15250,1Cg2,85,105,1,39,51,10,1.3156,O12,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_15250_L05,SOILPHYS_15250,SRC_WUR_SOILPHYSICS,15250,2Cu,105,120,85,40,55,5,0.38,O17,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_90115270_L01,SOILPHYS_90115270,SRC_WUR_SOILPHYSICS,90115270,1Ap,0,25,2,22,43,35,1.4063,B9,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_90115270_L02,SOILPHYS_90115270,SRC_WUR_SOILPHYSICS,90115270,1Cw,25,50,1,22,43,35,1.4354,O10,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_90115270_L03,SOILPHYS_90115270,SRC_WUR_SOILPHYSICS,90115270,1Cg,50,120,0,14,34,52,1.5378,O9,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_11020_L01,SOILPHYS_11020,SRC_WUR_SOILPHYSICS,11020,1Ap,0,25,2,3,52,45,1.1177,B4,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_11020_L02,SOILPHYS_11020,SRC_WUR_SOILPHYSICS,11020,1Cg,25,120,0,3,52,45,1.2028,O4,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_12010_L01,SOILPHYS_12010,SRC_WUR_SOILPHYSICS,12010,1Ap,0,25,1,7,23,70,1.2297,B3,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_12010_L02,SOILPHYS_12010,SRC_WUR_SOILPHYSICS,12010,1Cg,25,120,0,7,23,70,1.311,O3,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_11021_L01,SOILPHYS_11021,SRC_WUR_SOILPHYSICS,11021,1Ap,0,25,2,3,52,45,1.1177,B4,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_11021_L02,SOILPHYS_11021,SRC_WUR_SOILPHYSICS,11021,1Cg,25,70,0,3,52,45,1.2028,O4,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_11021_L03,SOILPHYS_11021,SRC_WUR_SOILPHYSICS,11021,2Cu,70,120,65,13,72,15,0.46,O18,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_90111050_L01,SOILPHYS_90111050,SRC_WUR_SOILPHYSICS,90111050,1Ap,0,25,1,6,4,90,1.5244,B2,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_90111050_L02,SOILPHYS_90111050,SRC_WUR_SOILPHYSICS,90111050,1Cg,25,45,0,6,4,90,1.6563,O2,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
SOILPHYS_90111050_L03,SOILPHYS_90111050,SRC_WUR_SOILPHYSICS,90111050,1Cu,45,120,0,4,4,92,1.6701,O1,DERIVED_MODAL_PROFILE_PROPERTY,modal bulk density is profile context only; do not use as CURRENT or REFERENCE soil_state without separate qualification
