question_id,theme,question,why_it_matters,suggested_disposition
R2_Q01,Hoofdaanpak,"Is eerst bestaande kennis en gegevens benutten en alleen zwaarder modelleren als dat nodig is de juiste hoofdstrategie voor deze onderzoeksvraag?","Bepaalt of literatuur, data en eenvoudige regels leidend blijven of procesmodellering eerder moet worden ingezet.","BEVESTIGD / AANPASSEN / NADER UITZOEKEN"
R2_Q02,Toerekening,"Is de vergelijking tussen huidige bodemtoestand en een passende referentie scherp genoeg voor attributie aan bodemverdichting?","Voorkomt dat verschillen in weer, gewas, drainage of beheer ten onrechte aan bodemtoestand worden toegeschreven.","BEVESTIGD / AANPASSEN / NADER UITZOEKEN"
R2_Q03,Gevolgen op het perceel,"Zijn de belangrijkste on-site effect- en kostenroutes compleet?","Bepaalt of opbrengst, kwaliteit, beregening en extra bedrijfsoperaties voldoende dekking geven.","BEVESTIGD / AANVULLEN / LATER"
R2_Q04,Gevolgen buiten het perceel,"Zijn de belangrijkste off-site routes en receptoren compleet en is overdracht/connectiviteit voldoende als eigen stap behandeld?","Voorkomt dat een perceeleffect direct als systeemschade wordt geïnterpreteerd.","BEVESTIGD / AANVULLEN / AANPASSEN"
R2_Q05,Gebruik van bestaande studies,"Wanneer is een directe empirische relatie volgens jou sterk genoeg om mechanistische tussenschakels niet opnieuw door te rekenen?","Bepaalt de grens van de methode waarin we alleen rekenen wat aanvullend nodig is.","BEVESTIGD / AANSCHERPEN / VERRUIMEN"
R2_Q06,Scenario's en onzekerheid,"Zijn de belangrijkste omstandigheden die de schade laten variëren goed genoeg in beeld, en moeten we vooral scenario's tonen, bandbreedtes tonen of beide?","Bepaalt of de systematiek zichtbaar maakt waarom één bodem×landgebruikcombinatie niet één contextvrij schadegetal heeft.","BEVESTIGD / AANPASSEN / NADER UITZOEKEN"
R2_Q07,Vertaling naar geld,"Zijn private kosten, publieke uitgaven en maatschappelijke welvaart voldoende van elkaar gescheiden?","Voorkomt dubbeltelling en onduidelijke eurototalen.","BEVESTIGD / AANPASSEN / NADER UITZOEKEN"
R2_Q08,Dashboard,"Laat het dashboard volgens jou goed genoeg zien wat we weten, wat ontbreekt, welke omstandigheden gelden en waar een resultaat vandaan komt?","De interface moet de wetenschappelijke structuur en toepassingsgrenzen ondersteunen in plaats van verbergen.","BEVESTIGD / HERONTWERPEN"
R2_Q09,Balans,"Zijn gevolgen op het perceel en buiten het perceel nu voldoende gelijkwaardig gepositioneerd?","De technische Tollebeek-lijn mag het bredere project niet definiëren.","BEVESTIGD / HERBALANCEREN"
R2_Q10,Prioriteit,"Welke onzekerheden hebben waarschijnlijk de grootste invloed op de uiteindelijke schade- of kostenraming, en welke 2–3 vervolgstappen verdienen daarom als eerste verdieping?","Stuurt vervolgwerk op informatiewinst voor het eindresultaat in plaats van op technische of fysische volledigheid.","PRIORITEIT AANGEVEN"
