priority,family_token,candidate_ccnl6_class,proposal_status,rule_basis,notes
10,EZ,ZE,AUTO_PROPOSAL,"Official BRO soil legend: EZ = enkeerdgronden; thick eerd soils with sandy esdek","Proposal only; final soil_unit_code mapping still requires review."
11,EL,L,AUTO_PROPOSAL,"Official BRO soil legend: EL = thick eerd soils with loam esdek","Proposal only."
12,EK,K,AUTO_PROPOSAL,"Official BRO soil legend: EK = thick eerd soils with clay/sandy-clay esdek","Proposal only."
20,BL,L,AUTO_PROPOSAL,"BRO/soil-classification documentation: BL = leembrikgronden","Proposal only."
21,BK,K,AUTO_PROPOSAL,"BRO/soil-classification documentation: BK = oude kleibrikgronden","Proposal only."
22,BZ,ZO,AUTO_PROPOSAL,"BRO/soil-classification documentation: BZ = zandbrikgronden","Proposal only."
30,MO,K,AUTO_PROPOSAL,"Official BRO soil legend: MO = non-ripened marine clay/sandy-clay soils","Proposal only."
31,RO,K,AUTO_PROPOSAL,"Official BRO soil legend: RO = non-ripened river clay/sandy-clay soils","Proposal only."
32,KR,K,AUTO_PROPOSAL,"Official BRO soil legend: KR = old river clay soils","Proposal only."
33,KX,K,AUTO_PROPOSAL,"Official BRO soil legend: KX = old clay soils","Proposal only."
34,KT,K,AUTO_PROPOSAL,"Official BRO soil legend: KT = old clay soils","Proposal only."
40,MZ,,REVIEW_REQUIRED,"Official BRO soil legend: old South-Limburg soils; parent material varies","Do not infer CC-NL6 class from family token alone."
41,MK,,REVIEW_REQUIRED,"Official BRO soil legend: old South-Limburg soils; parent material varies","Review texture/material."
42,MA,,REVIEW_REQUIRED,"Official BRO soil legend: old South-Limburg soils; parent material varies","Review texture/material."
43,FK,,REVIEW_REQUIRED,"Official BRO soil legend: old South-Limburg soils; fluviatile parent material","Review texture/material."
44,FG,,REVIEW_REQUIRED,"Official BRO soil legend: old South-Limburg soils; fluviatile parent material","Review texture/material."
45,KM,,REVIEW_REQUIRED,"Official BRO soil legend: old South-Limburg limestone-weathering soils","Review texture/material."
46,KK,,REVIEW_REQUIRED,"Official BRO soil legend: old South-Limburg limestone-weathering soils","Review texture/material."
47,KS,,REVIEW_REQUIRED,"Official BRO soil legend: old South-Limburg limestone-weathering soils","Review texture/material."
50,V,V,AUTO_PROPOSAL,"Official BRO soil legend: V = peat soils","Proposal only."
51,W,M,AUTO_PROPOSAL,"Official BRO soil legend: W = organic-mineral/moerige soils","Proposal only."
52,Y,ZO,AUTO_PROPOSAL,"Official BRO soil legend: Y = moderpodzol soils in kalkloos zand","Proposal only."
53,H,ZO,AUTO_PROPOSAL,"Official BRO soil legend: H = humuspodzol soils in kalkloos zand","Proposal only."
54,Z,ZO,AUTO_PROPOSAL,"Official BRO soil legend: Z = kalkloze or kalkhoudende sandy soils when no thick eerd layer applies","Includes Z...A; proposal only."
55,M,K,AUTO_PROPOSAL,"Official BRO soil legend: M = marine clay soils","Proposal only."
56,R,K,AUTO_PROPOSAL,"Official BRO soil legend: R = river clay soils","Proposal only."
57,L,L,AUTO_PROPOSAL,"Official BRO soil legend: L = loam soils","Proposal only."
60,S,,REVIEW_REQUIRED,"Official BRO legend: S...A = special calcareous lutum-poor transitional soils","Transition between sand and very light sandy clay; explicit review required."
70,B,,REVIEW_REQUIRED,"Generic brik family fallback","Only BL/BK/BZ have automatic proposals."
999,UNKNOWN,,REVIEW_REQUIRED,"No supported family token rule","Manual soil-unit review required."
